,School,Students,District
796,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Aiken School
212 King Philip Drive, West Hartford, CT, 06117  Homes for sale",421.0,West Hartford School District
797,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Plymouth Center School
107 North Street, Plymouth, CT, 06782  Homes for sale",323.0,Plymouth School District
798,"2/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Windham Middle School
123 Quarry Street, Windham, CT, 06226  Homes for sale",599.0,Windham School District
799,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Burns Latino Studies Academy
195 Putnam Street, Hartford, CT, 06106  Homes for sale",439.0,Hartford School District
800,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Jane Ryan School
190 Park Lane, Trumbull, CT, 06611  Homes for sale",384.0,Trumbull School District
801,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Howell Cheney Technical High School
791 Middle Turnpike West, Manchester, CT, 06040  Homes for sale",634.0,Connecticut Technical High School
802,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Andover Elementary School
35 School Road, Andover, CT, 06232  Homes for sale",204.0,Andover School District
803,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Dwight Elementary School
1600 Redding Road, Fairfield, CT, 06824  Homes for sale",314.0,Fairfield School District
804,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Sherman School
2 Connecticut 37, Sherman, CT, 06784  Homes for sale",301.0,Sherman School District
805,"2/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Luis Munoz Marin School
479 Helen Street, Bridgeport, CT, 06610  Homes for sale",808.0,Bridgeport School District
806,"9/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Frank Ward Strong School
191 Main Street, Durham, CT, 06422  Homes for sale",287.0,Region 13
807,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Nathan Hale Middle School
176 Strawberry Hill Avenue, Norwalk, CT, 06851  Homes for sale",680.0,Norwalk School District
808,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Lawrence School
Kaplan Dr., Middletown, CT, 06457  Homes for sale",293.0,Middletown School District
809,"Currently unrated GreatSchools’ Summary Rating provides an overall snapshot of school quality. 
For some schools, we do not have enough data from state or national education agencies to provide a rating.
Poquonock Elementary School
1760 Poquonock Avenue, Windsor, CT, 06095  Homes for sale",296.0,Windsor School District
810,"2/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Torrington High School
50 Major Besse Drive, Torrington, CT, 06790  Homes for sale",884.0,Torrington School District
811,"9/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Braeburn School
45 Braeburn Road, West Hartford, CT, 06107  Homes for sale",349.0,West Hartford School District
812,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Illing Middle School
227 Middle Turnpike East, Manchester, CT, 06040  Homes for sale",826.0,Manchester School District
813,"9/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Weston Intermediate School
95 School Road, Weston, CT, 06883  Homes for sale",507.0,Weston School District
814,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Long Hill School
565 Long Hill Avenue, Shelton, CT, 06484  Homes for sale",372.0,Shelton School District
815,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Plainville High School
47 Robert Holcomb Way, Plainville, CT, 06062  Homes for sale",707.0,Plainville School District
816,"10/10Top ratedGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Darien High School
2 awardsAwards & BadgesCollege Success Award2019, 2020See all winners in Connecticut80 High School Lane, Darien, CT, 06820  Homes for sale",1377.0,Darien School District
817,"Currently unrated GreatSchools’ Summary Rating provides an overall snapshot of school quality. 
For some schools, we do not have enough data from state or national education agencies to provide a rating.
Skane Center
2977 Madison Avenue, Bridgeport, CT, 06606  Homes for sale",211.0,Bridgeport School District
818,"1/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
King Street Primary School
151 South King Street, Danbury, CT, 06811  Homes for sale",451.0,Danbury School District
819,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Torrington Middle School
200 Middle School Drive, Torrington, CT, 06790  Homes for sale",1042.0,Torrington School District
820,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Westside Middle School Academy
1 School Ridge Road, Danbury, CT, 06811  Homes for sale",601.0,Danbury School District
821,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Bristol Central High School
480 Wolcott Street, Bristol, CT, 06010  Homes for sale",1125.0,Bristol School District
822,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Vogel-Wetmore School
68 Church Street, Torrington, CT, 06790  Homes for sale",440.0,Torrington School District
823,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
A. W. Cox School
143 3 Mile Course, Guilford, CT, 06437  Homes for sale",265.0,Guilford School District
824,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Bolton High School
1 awardAwards & BadgesCollege Success Award2019See all winners in Connecticut72 Brandy Street, Bolton, CT, 06043  Homes for sale",275.0,Bolton School District
825,"10/10Top ratedGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Wilton High School
2 awardsAwards & BadgesCollege Success Award2019, 2020See all winners in Connecticut395 Danbury Road, Wilton, CT, 06897  Homes for sale",1330.0,Wilton School District
826,"1/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Hphs Academy Of Engineering And Green Technology
55 Forest Street, Hartford, CT, 06105  Homes for sale",344.0,Hartford School District
827,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
The Environmental Sciences Magnet School
440 Broadview Terrace, Hartford, CT, 06106  Homes for sale",613.0,Hartford School District
828,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Ellsworth Avenue School
53 Ellsworth Avenue, Danbury, CT, 06810  Homes for sale",471.0,Danbury School District
829,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Skinner Road School
90 Skinner Road, Vernon, CT, 06066  Homes for sale",334.0,Vernon School District
830,"9/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Trumbull High School
2 awardsAwards & BadgesCollege Success Award2019, 2020See all winners in Connecticut72 Strobel Road, Trumbull, CT, 06611  Homes for sale",2107.0,Trumbull School District
831,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Duggan School
952 Bank Street, Waterbury, CT, 06708  Homes for sale",510.0,Waterbury School District
832,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Edgewood School
345 Mix Street, Bristol, CT, 06010  Homes for sale",288.0,Bristol School District
833,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
John Paterson School
120 Church Street, Newington, CT, 06111  Homes for sale",390.0,Newington School District
834,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Windsor Locks High School
58 South Elm Street, Windsor Locks, CT, 06096  Homes for sale",422.0,Windsor Locks School District
835,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Strong School Kg
130 Orchard Street, New Haven, CT, 06519  Homes for sale",289.0,New Haven School District
836,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Salisbury Central School
45 Lincoln City Road, Salisbury, CT, 06068  Homes for sale",298.0,Salisbury School District
837,"9/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
House Of Arts Letters And Science (Hals)  Academy
30 Pendleton Road, New Britain, CT, 06053  Homes for sale",152.0,New Britain School District
838,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Ella T. Grasso Southeastern Technical High School
189 Fort Hill Road, Groton, CT, 06340  Homes for sale",472.0,Connecticut Technical High School
839,"1/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Northend School
160 Bassett Street, New Britain, CT, 06051  Homes for sale",257.0,New Britain School District
840,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Western School
108 Pine Street, Naugatuck, CT, 06770  Homes for sale",274.0,Naugatuck School District
841,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Quaker Hill Elementary School
285 Bloomingdale Road, Waterford, CT, 06375  Homes for sale",368.0,Waterford School District
842,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
W. B. Sweeney School
60 Oak Hill Drive, Windham, CT, 06226  Homes for sale",255.0,Windham School District
843,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Martin Kellogg Middle School
155 Harding Avenue, Newington, CT, 06111  Homes for sale",629.0,Newington School District
844,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Charter Oak International Academy
425 Oakwood Avenue, West Hartford, CT, 06110  Homes for sale",523.0,West Hartford School District
845,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Second Hill Lane School
65 Second Hill Lane, Stratford, CT, 06614  Homes for sale",607.0,Stratford School District
846,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Valley Regional High School
1 awardAwards & BadgesCollege Success Award2020See all winners in Connecticut256 Kelsey Hill Road, Deep River, CT, 06417  Homes for sale",587.0,Region 04
847,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Mary Morrisson School
154 Toll Gate Road, Groton, CT, 06340  Homes for sale",441.0,Groton School District
848,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Tourtellotte Memorial High School
785 Riverside Drive, Thompson, CT, 06255  Homes for sale",243.0,Thompson School District
849,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Hebron Elementary School
92 Church Street, Hebron, CT, 06248  Homes for sale",380.0,Hebron School District
850,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
H. C. Wilcox Technical High School
298 Oregon Road, Meriden, CT, 06451  Homes for sale",743.0,Connecticut Technical High School
851,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Lake Garda Elementary School
61 Monce Road, Burlington, CT, 06013  Homes for sale",445.0,Region 10
852,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Manchester High School
134 Middle Turnpike East, Manchester, CT, 06040  Homes for sale",1555.0,Manchester School District
853,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Side By Side Charter School
10 Chestnut Street, Norwalk, CT, 06854  Homes for sale",235.0,Side By Side Community School
854,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Davis 21st Century Magnet Elementary School
35 Davis Street, New Haven, CT, 06515  Homes for sale",511.0,New Haven School District
855,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Capital Preparatory Harbor School Inc.
777 East Main Street, Bridgeport, CT, 06608  Homes for sale",439.0,Capital Preparatory Harbor School
856,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Jefferson Magnet School
75 Van Buren Avenue, Norwalk, CT, 06850  Homes for sale",557.0,Norwalk School District
857,"2/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Danbury High School
43 Clapboard Ridge Road, Danbury, CT, 06811  Homes for sale",3115.0,Danbury School District
858,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
K. T. Murphy School
19 Horton St, Stamford, CT, 06902  Homes for sale",547.0,Stamford School District
859,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Portland High School
95 High Street, Portland, CT, 06480  Homes for sale",375.0,Portland School District
860,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Burr District Elementary School
792 Killingworth Road, Haddam, CT, 06441  Homes for sale",263.0,Region 17
861,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Hall Memorial School
111 River Road, Willington, CT, 06279  Homes for sale",202.0,Willington School District
862,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Middlebury Elementary School
550 Whittemore Road, Middlebury, CT, 06762  Homes for sale",297.0,Region 15
863,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Clemente Leadership Academy
360 Columbus Avenue, New Haven, CT, 06519  Homes for sale",481.0,New Haven School District
864,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Middle Gate Elementary School
7 Cold Spring Road, Newtown, CT, 06470  Homes for sale",362.0,Newtown School District
865,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Blackham School
425 Thorme Street, Bridgeport, CT, 06606  Homes for sale",1103.0,Bridgeport School District
866,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Pathways Academy of Technology and Design
2 Pent Road, East Hartford, CT, 06118  Homes for sale",432.0,Hartford School District
867,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Buttonball Lane School
376 Buttonball Lane, Glastonbury, CT, 06033  Homes for sale",447.0,Glastonbury School District
868,"9/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Melissa Jones School
181 Ledge Hill Road, Guilford, CT, 06437  Homes for sale",292.0,Guilford School District
869,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Haddam-Killingworth Middle School
451 Connecticut 81, Killingworth, CT, 06419  Homes for sale",663.0,Region 17
870,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Henry Abbott Technical High School
21 Hayestown Avenue, Danbury, CT, 06811  Homes for sale",670.0,Connecticut Technical High School
871,"2/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Breakthrough Ii
395 Lyme Street, Hartford, CT, 06112  Homes for sale",290.0,Hartford School District
872,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Cranbury Elementary School
5 Knowalot Lane, Norwalk, CT, 06851  Homes for sale",447.0,Norwalk School District
873,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Brookside Elementary School
382 Highland Ave, Norwalk, CT, 06854  Homes for sale",444.0,Norwalk School District
874,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Stafford Middle School
21 Levinthal Run, Stafford, CT, 06076  Homes for sale",361.0,Stafford School District
875,"2/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
High School in the Community
175 Water St, New Haven, CT, 06511  Homes for sale",237.0,New Haven School District
876,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Westover School
412 Stillwater Avenue, Stamford, CT, 06902  Homes for sale",681.0,Stamford School District
877,"2/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Bennie Dover Jackson Middle School
36 Waller Street, New London, CT, 06320  Homes for sale",347.0,New London School District
878,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Avon High School
2 awardsAwards & BadgesCollege Success Award2019, 2020See all winners in Connecticut510 West Avon Road, Avon, CT, 06001  Homes for sale",1011.0,Avon School District
879,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Mathewson School
466 West River Street, Milford, CT, 06461  Homes for sale",380.0,Milford School District
880,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Metacomet School
185 School Street, Bloomfield, CT, 06002  Homes for sale",234.0,Bloomfield School District
881,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Michael F. Wallace Middle School
3465 East Main Street, Waterbury, CT, 06705  Homes for sale",1090.0,Waterbury School District
882,"10/10Top ratedGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
George Hersey Robertson School
227 Cross Street, Coventry, CT, 06238  Homes for sale",386.0,Coventry School District
